what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
find me the romney at mote house restaurants,/->/search-listings/#search{'restaurant name or location'= 'the romney at mote house'|0|'the romney at mote house')}
complete the reservation for 6:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm time')}
do they have any table left on 10 oct 2019,Restaurant->Restaurant availability#find table{'date'= '10 oct'|1|'10 oct 2019')}
do have availability for a group of 3 friends,Restaurant->Restaurant availability#find table{'number of people'= 'for 3'|1|'a group of 3 friends')}
do they have any table left on august 21 2019,Restaurant->Restaurant availability#find table{'date'= '21 aug'|1|'august 21  2019')}
get a table here for 6:15 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 evening time')}
filter the results by greek,/search-listings/->/search-listings/#cuisine{'cuisine'= 'greek'|1|'greek')}
how booked it is on 25 nov 2019,Restaurant->Restaurant availability#find table{'date'= '25 nov'|1|'25 nov 2019')}
where is manchester,/->/city-restaurants#search{'search by name or location'= 'manchester'|0|'manchester')}
what's the availability on july 10 2019 for just for 5,Restaurant->Restaurant availability#find table{'date'= '10 jul'|1|'july 10  2019'; 'number of people'= 'for 5'|1|'just for 5')}
reserve it under joseph johnson,Reservation form->Reservation confirmation#continue reservation{'first name'= 'joseph'|0|'joseph'; 'last name'= 'johnson'|0|'johnson')}
is it available on 12 dec 2019 at 3:30 morning time,Restaurant->Restaurant availability#find table{'time'= '3:30'|1|'3:30 morning time'; 'date'= '12 dec'|1|'12 dec 2019')}
what's the availability on 4 dec 2019 for the 3 of us,Restaurant->Restaurant availability#find table{'date'= '4 dec'|1|'4 dec 2019'; 'number of people'= 'for 3'|1|'the 3 of us')}
anything free at 10:30 in the morning,Restaurant->Restaurant availability#find table{'time'= '10:30'|1|'10:30 in the morning')}
I would like for you to make this reservation for me for 5:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 pm time')}
more information for aqua shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'aqua shard'|1|'aqua shard')}
filter the results by afternoon tea,/search-listings/->/search-listings/#cuisine{'cuisine'= 'afternoon tea'|1|'afternoon tea')}
can I book on 9 sep 2019 at 5:30 pm in the evening for just for 8,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 pm in the evening'; 'date'= '9 sep'|1|'9 sep 2019'; 'number of people'= 'for 8'|1|'just for 8')}
confirm my table for 8:30 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 evening time')}
what about a table here at 4:30 in the morning for me and my friend,Restaurant->Restaurant availability#find table{'time'= '4:30'|1|'4:30 in the morning'; 'number of people'= 'for 2'|1|'me and my friend')}
is it available on november 28 2019 at 9:30 pm time,Restaurant->Restaurant availability#find table{'time'= '21:30'|1|'9:30 pm time'; 'date'= '28 nov'|1|'november 28  2019')}
reserve it for me under david smith,Reservation form->Reservation confirmation#continue reservation{'first name'= 'david'|0|'david'; 'last name'= 'smith'|0|'smith')}
can I book on 2 oct 2019 at 3 morning time for 4 people,Restaurant->Restaurant availability#find table{'time'= '3:00'|1|'3 morning time'; 'date'= '2 oct'|1|'2 oct 2019'; 'number of people'= 'for 4'|1|'4 people')}
make the reservation now for 8 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 evening time')}
can I book on november 19 2019 at 6:00 pm time for myself,Restaurant->Restaurant availability#find table{'time'= '18:00'|1|'6:00 pm time'; 'date'= '19 nov'|1|'november 19  2019'; 'number of people'= 'for 1'|1|'myself')}
is it available for 8:15 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:15'|1|'8:15 evening time')}
I would like for you to make this reservation for me for 18:45,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'18:45')}
can I book on october 10 2019 at 20:30 for a party of 5 people,Restaurant->Restaurant availability#find table{'time'= '20:30'|1|'20:30'; 'date'= '10 oct'|1|'october 10  2019'; 'number of people'= 'for 5'|1|'a party of 5 people')}
book it at 3:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 afternoon time')}
make a reservation for this for 6 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 evening time')}
do they have any table left on 13 sep 2019,Restaurant->Restaurant availability#find table{'date'= '13 sep'|1|'13 sep 2019')}
confirm my table for 3:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm time')}
show only the vegetarian restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegetarian'|1|'vegetarian')}
finalize the reservation for 4:45 in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 in the afternoon')}
do have availability for 8 guests,Restaurant->Restaurant availability#find table{'number of people'= 'for 8'|1|'8 guests')}
can you reserve on 14 oct 2019 for a party of 1,Restaurant->Restaurant availability#find table{'date'= '14 oct'|1|'14 oct 2019'; 'number of people'= 'for 1'|1|'a party of 1')}
show me some ask italian edinburgh restaurants,/->/search-listings/#search{'restaurant name or location'= 'ask italian edinburgh'|0|'ask italian edinburgh')}
do have availability for 10 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 10'|1|'10 people')}
I want a table here for 8 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 evening time')}
what's the availability on november 28 2019 for 8 guests,Restaurant->Restaurant availability#find table{'date'= '28 nov'|1|'november 28  2019'; 'number of people'= 'for 8'|1|'8 guests')}
anything free at 8:30 am time,Restaurant->Restaurant availability#find table{'time'= '8:30'|1|'8:30 am time')}
find me the tower restaurant restaurants,/->/search-listings/#search{'restaurant name or location'= 'the tower restaurant'|0|'the tower restaurant')}
is 21:00 still available,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'21:00')}
what about a table here at 5:30 pm time for about 11 people,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'5:30 pm time'; 'number of people'= 'for 11'|1|'about 11 people')}
can I book on 31 jul 2019 at 8:00 morning time for just me,Restaurant->Restaurant availability#find table{'time'= '8:00'|1|'8:00 morning time'; 'date'= '31 jul'|1|'31 jul 2019'; 'number of people'= 'for 1'|1|'just me')}
reserve for james fanet and specify mark_taylor@outlook.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'james'|0|'james'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3122345786'|0|'3122345786')}
avaiability for 6:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 in the evening')}
show me oblix west at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'oblix west at the shard'|1|'oblix west at the shard')}||/->/city-restaurants#search{'search by name or location'= 'oblix west at the shard'|0|'oblix west at the shard')}
is it available on october 4 2019 at 10:30 morning time,Restaurant->Restaurant availability#find table{'time'= '10:30'|1|'10:30 morning time'; 'date'= '4 oct'|1|'october 4  2019')}
anything free at 7:00 in the evening,Restaurant->Restaurant availability#find table{'time'= '19:00'|1|'7:00 in the evening')}
do they have any table left on july 3 2019,Restaurant->Restaurant availability#find table{'date'= '3 jul'|1|'july 3  2019')}
can I get a table here for 3:30 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 afternoon time')}
can you reserve on 18 dec 2019 for a group of 6 friends,Restaurant->Restaurant availability#find table{'date'= '18 dec'|1|'18 dec 2019'; 'number of people'= 'for 6'|1|'a group of 6 friends')}
what's the availability on 12 aug 2019 for 8 people,Restaurant->Restaurant availability#find table{'date'= '12 aug'|1|'12 aug 2019'; 'number of people'= 'for 8'|1|'8 people')}
reserve for james fanet and specify tom.fanet@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'james'|0|'james'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3122345786'|0|'3122345786')}
tell me something about mber,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'mber'|1|'mber')}
what's the avaiability on october 24 2019,Restaurant->Restaurant availability#find table{'date'= '24 oct'|1|'october 24  2019')}
can you reserve on november 29 2019 for 9 persons,Restaurant->Restaurant availability#find table{'date'= '29 nov'|1|'november 29  2019'; 'number of people'= 'for 9'|1|'9 persons')}
I want a table here for 9 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 in the night')}
is 5:00 in the evening still available,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 in the evening')}
place the reservation for 18:45,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'18:45')}
can I book on november 20 2019 at 11:30 in the night for about 7 people,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'11:30 in the night'; 'date'= '20 nov'|1|'november 20  2019'; 'number of people'= 'for 7'|1|'about 7 people')}
can I book on 18 dec 2019 at 1 pm time for 12 guests,Restaurant->Restaurant availability#find table{'time'= '13:00'|1|'1 pm time'; 'date'= '18 dec'|1|'18 dec 2019'; 'number of people'= 'for 12'|1|'12 guests')}
which are steaks & grills,/search-listings/->/search-listings/#cuisine{'cuisine'= 'steaks & grills'|1|'steaks & grills')}
is it available on 26 dec 2019 at 5 o'clock,Restaurant->Restaurant availability#find table{'time'= '17:00'|1|"5 o'clock"; 'date'= '26 dec'|1|'26 dec 2019')}
anything free at 4:30 afternoon time,Restaurant->Restaurant availability#find table{'time'= '16:30'|1|'4:30 afternoon time')}
reserve for brian miller and specify tom.fanet@gmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'miller'|0|'miller'; 'phone number'= '4401233624'|0|'4401233624')}
is it available on 18 nov 2019 at 9:00 night time,Restaurant->Restaurant availability#find table{'time'= '21:00'|1|'9:00 night time'; 'date'= '18 nov'|1|'18 nov 2019')}
more details on oblix east at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'oblix east at the shard'|1|'oblix east at the shard')}
book it at 19:30,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'19:30')}
book it at 6 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 in the evening')}
what about a table here at 9:00 am time for me and my friend,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9:00 am time'; 'number of people'= 'for 2'|1|'me and my friend')}
is it available on 1 oct 2019 at 11 am time,Restaurant->Restaurant availability#find table{'time'= '11:00'|1|'11 am time'; 'date'= '1 oct'|1|'1 oct 2019')}
make the reservation now for 6:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm time')}
do they have any table left on 23 oct 2019,Restaurant->Restaurant availability#find table{'date'= '23 oct'|1|'23 oct 2019')}
what about a table here at 10:00 am in the morning for 9 persons,Restaurant->Restaurant availability#find table{'time'= '10:00'|1|'10:00 am in the morning'; 'number of people'= 'for 9'|1|'9 persons')}
I want to reserve for 3:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm time')}
place the reservation for 8:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm time')}
do they have any table left on 13 dec 2019,Restaurant->Restaurant availability#find table{'date'= '13 dec'|1|'13 dec 2019')}
anything free at 13:00,Restaurant->Restaurant availability#find table{'time'= '13:00'|1|'13:00')}
which are in south east london,/search-listings/->/search-listings/#location{'location'= 'south east london'|1|'south east london')}
can you reserve on 11 sep 2019 for a party of 11 people,Restaurant->Restaurant availability#find table{'date'= '11 sep'|1|'11 sep 2019'; 'number of people'= 'for 11'|1|'a party of 11 people')}
what's the avaiability on september 5 2019,Restaurant->Restaurant availability#find table{'date'= '5 sep'|1|'september 5  2019')}
reserve for mark fanet and specify joseph_234@outlook.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'joseph_234@outlook.com'|0|'joseph_234@outlook.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '7741234567'|0|'7741234567')}
